onset	duration	choice	agent	money_left	probability_left	money_right	probability_right
17.004878338	5	2	1	15.11	0.35	22.6	0.34
28.011192411	5	2	1	4.19	0.4	8.45	0.33
39.01699989	5	1	1	18.32	0.48	33.17	0.28
50.019571244	5	1	1	19.24	0.42	37.94	0.24
65.024898267	5	2	1	34.05	0.27	23.14	0.44
78.029771975	5	1	1	10.55	0.33	2.76	0.47
91.035431024	5	1	1	11.7	0.29	0.07	0.48
106.040120137	5	2	1	3.58	0.51	8.83	0.28
121.044295598	5	1	1	39.82	0.48	33.29	0.5
134.049837994	5	1	1	16.25	0.42	9.54	0.51
149.052751232	5	2	1	8.01	0.53	30.19	0.26
164.056947335	5	1	1	6.68	0.58	7.51	0.39
177.061088918	5	2	1	4.24	0.44	9.99	0.37
188.066838978	5	1	1	37.03	0.41	33.81	0.42
201.071217138	5	2	1	20.23	0.32	34.01	0.22
218.079432327	5	1	0	21.81	0.52	18.15	0.56
231.086214745	5	2	0	4.74	0.53	22.31	0.51
246.08976892	5	1	0	17.4	0.31	12.61	0.45
257.093097377	5	1	0	26.95	0.57	28.1	0.52
272.098074866	5	1	0	35.62	0.4	7.49	0.47
285.104034354	5	1	0	32.35	0.29	0.59	0.47
298.109716438	5	1	0	35.78	0.59	0.76	0.6
311.114905482	5	1	0	15.48	0.55	14.09	0.57
322.118610105	5	1	0	13.3	0.6	13.9	0.35
337.125235383	5	1	0	10.45	0.48	19.99	0.26
348.13161419	5	1	0	37.99	0.35	25.12	0.52
359.137672323	5	2	0	6.63	0.44	31.56	0.31
374.142076889	5	1	0	22.1	0.53	22.78	0.27
389.145970921	5	1	0	17.47	0.5	33.16	0.26
400.149551595	5	1	0	38.15	0.51	28.85	0.58
